channel,region,object_id,feature_name,feature_value
dist_to_lumen,nuclei,17,mean,8.811819076538086
dist_to_lumen,nuclei,18,mean,9.558379173278809
dist_to_lumen,nuclei,19,mean,8.224422454833984
dist_to_lumen,nuclei,20,mean,7.727888107299805
dist_to_lumen,nuclei,21,mean,7.466172695159912
dist_to_lumen,nuclei,22,mean,8.24226188659668
dist_to_lumen,nuclei,23,mean,8.910013198852539
dist_to_lumen,nuclei,24,mean,5.182352542877197
dist_to_basal,nuclei,1,mean,4.179567813873291
dist_to_basal,nuclei,2,mean,5.324736595153809
dist_to_basal,nuclei,3,mean,3.0754241943359375
dist_to_basal,nuclei,4,mean,4.280049800872803
dist_to_basal,nuclei,5,mean,3.1913366317749023
dist_to_basal,nuclei,6,mean,3.6289167404174805
dist_to_basal,nuclei,7,mean,3.1982216835021973
dist_to_basal,nuclei,8,mean,3.130760908126831
dist_to_basal,nuclei,9,mean,4.385741233825684
dist_to_basal,nuclei,10,mean,4.495243549346924
dist_to_basal,nuclei,11,mean,3.853884220123291
dist_to_basal,nuclei,12,mean,7.191312313079834
dist_to_basal,nuclei,13,mean,4.057561874389648
dist_to_basal,nuclei,14,mean,5.217746734619141
dist_to_basal,nuclei,15,mean,3.1659998893737793
dist_to_basal,nuclei,16,mean,2.52951717376709
dist_to_basal,nuclei,17,mean,2.607542037963867
dist_to_basal,nuclei,18,mean,4.027621746063232
dist_to_basal,nuclei,19,mean,4.214049339294434
dist_to_basal,nuclei,20,mean,3.844308376312256
dist_to_basal,nuclei,21,mean,3.134737253189087
dist_to_basal,nuclei,22,mean,6.790018558502197
dist_to_basal,nuclei,23,mean,4.012421607971191
dist_to_basal,nuclei,24,mean,5.448977947235107
na,nuclei,1,volume,236.46480000000003
na,nuclei,2,volume,165.2144
na,nuclei,3,volume,335.97200000000004
na,nuclei,4,volume,206.58560000000003
